Abies alba,European Silver-fir
Anthemis tinctoria,Yellow Chamomile
Anthemis tomentosa,Woolly Chamomile
Anthemis triumfetti,Southern Dog-daisy
Anthemis wiedemanniana,
Anthericum ramosum,Branched St Bernard's-lily
Antholyza ringens,
Anthoxanthum aristatum,Annual Vernal-grass
Anthoxanthum aristatum subsp. puelii,
Anthoxanthum odoratum,Sweet Vernal-grass
Anthoxanthum ovatum,
Anthriscus caucalis,Bur Chervil
Anthriscus cerefolium,Garden Chervil
Anthriscus sylvestris,Cow Parsley
Anthyllis tetraphylla,Bladder Vetch
Anthyllis vulneraria,Kidney Vetch
Anthyllis vulneraria subsp. carpatica,
Anthyllis vulneraria subsp. corbierei,
Anthyllis vulneraria subsp. lapponica,
Anthyllis vulneraria subsp. polyphylla,
Anthyllis vulneraria subsp. vulneraria,
Antirrhinum majus,Snapdragon
Antirrhinum siculum,
Apera intermedia,
Apera interrupta,Dense Silky-bent
Apera spica-venti,Loose Silky-bent
Aphanes arvensis,Parsley-piert
Aphanes arvensis agg.,
Aphanes australis,Slender Parsley-piert
Apium graveolens,Wild Celery
Apium inundatum,Lesser Marshwort
Apium nodiflorum,Fool's-water-cress
Apium x longipedunculatum,
Apium nodiflorum x inundatum = A. x moorei,
Apium nodiflorum x repens,
Apium repens,Creeping Marshwort
Aponogeton distachyos,Cape-pondweed
Aptenia cordifolia,Heart-leaf Iceplant
Aquilegia olympica,
Aquilegia pubescens,
Aquilegia pyrenaica,Pyrenean Columbine
Aquilegia vulgaris,Columbine
Arabidopsis arenosa,Sand Rock-cress
Arabidopsis petraea,Northern Rock-cress
Arabidopsis thaliana,Thale Cress
Arabis alpina,Alpine Rock-cress
Arabis arenosa,Sand Rock-cress
Arabis caucasica,Garden Arabis
Arabis collina,Rosy Cress
Arabis glabra,Tower Mustard
Arabis hirsuta,Hairy Rock-cress
Arabis nova,
Arabis petraea,Northern Rock-cress
Arabis scabra,Bristol Rock-cress
Arabis turrita,Tower Cress
Arabis verna,
Arachis hypogaea,Peanut
Aralia chinensis,Chinese Angelica-tree
Aralia elata,Japanese Angelica-tree
Aralia racemosa,American-spikenard
Araucaria araucana,Monkey-puzzle
Arbutus unedo,Strawberry-tree
Arbutus unedo x andrachne = A. x andrachnoides,Hybrid Strawberry-tree
Arctium lappa,Greater Burdock
Arctium lappa x minus = A. x nothum,
Arctium minus,Lesser Burdock
Arctium minus ssp minus,
Arctium minus ssp pubens,
Arctium minus agg.,
Arctium nemorosum,Wood Burdock
Arctium tomentosum,Woolly Burdock
Arctostaphylos alpinus,Alpine Bearberry
Arctostaphylos uva-ursi,Bearberry
Arctotheca calendula,Plain Treasureflower
Arctotis breviscapa,
Arctotis stoechadifolia,White Arctotis
Aremonia agrimonioides,Bastard Agrimony
Arenaria balearica,Mossy Sandwort
Arenaria ciliata,Fringed Sandwort
Arenaria leptoclados,Slender Sandwort
Arenaria montana,Mountain Sandwort
Arenaria norvegica,
Arenaria norvegica subsp. anglica,English Sandwort
Arenaria norvegica subsp. norvegica,Arctic Sandwort
Arenaria serpyllifolia,
Arenaria serpyllifolia subsp. leptoclados,Slender Sandwort
Arenaria serpyllifolia subsp. serpyllifolia,Thyme-leaved Sandwort
Argemone mexicana,Mexican Poppy
Argyranthemum frutescens,Paris Daisy
Arisarum proboscideum,Mousetailplant
Aristea ecklonii,Blue Corn-lily
Aristida adscensionis,
Aristida benthamii,
Aristida congesta,
Aristida contorta,
Aristida oligantha,
Aristida ramosa,
Aristolochia clematitis,Birthwort
Aristolochia hirta,Breckland Birthwort
Aristolochia rotunda,Smearwort
Armeria arenaria,Jersey Thrift
Armeria maritima,
Armeria maritima subsp. elongata,Tall Thrift
Armeria maritima subsp. maritima,Thrift
Armeria maritima x arenaria,
Armeria pseudoarmeria,Estoril Thrift
Armoracia macrocarpa,
Armoracia rusticana,Horse-radish
Arnebia pulchra,Prophet-flower
Arnica angustifolia,Arctic Arnica
Arnoseris minima,Lamb's Succory
Aronia arbutifolia,Red Chokeberry
Aronia melanocarpa,Black Chokeberry
Arrhenatherum album,
Arrhenatherum elatius,False Oat-grass
Artemisia abrotanum,Southernwood
Artemisia absinthium,Wormwood
Artemisia afra,
Artemisia anethifolia,
Artemisia annua,Annual Mugwort
Artemisia biennis,Slender Mugwort
Artemisia campestris,Field Wormwood
Artemisia campestris ssp campestris,Field Wormwood
Artemisia campestris ssp maritima,Dune Wormwood
Artemisia chamaemelifolia,
Artemisia dracunculus,Tarragon
Artemisia herba-alba,
Artemisia longifolia,
Artemisia ludoviciana,Western Mugwort
Artemisia macrantha,
Artemisia maritima,Sea Wormwood
Artemisia norvegica,Norwegian Mugwort
Artemisia pontica,Roman Wormwood
Artemisia scoparia,
Artemisia sericea,
Artemisia stelleriana,Hoary Mugwort
Artemisia tschernieviana,
Artemisia verlotiorum,Chinese Mugwort
Artemisia vulgaris,Mugwort
Artemisia vulgaris x Artemisia verlotiorum,
Artemisia x wurzellii,
Arthraxon hispidus,
Arum italicum,Italian Lords-and-Ladies
Arum italicum subsp. canariense,
Arum italicum subsp. italicum,
Arum italicum subsp. neglectum,
